Timestamp,Conductivity (uS/cm),Specific Conductance (uS/cm),Temperature (C)
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.6,97.1,22
10/1/2016 11:49,91.7,97.2,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.2,22
10/1/2016 11:49,91.7,97.2,22
10/1/2016 11:49,91.6,97.2,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:49,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.3,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.3,22
10/1/2016 11:50,91.8,97.3,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.9,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.9,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.9,97.4,22
10/1/2016 11:50,91.7,97.3,22
10/1/2016 11:50,91.6,97.2,22
10/1/2016 11:50,91.7,97.3,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.9,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.5,97.1,22
10/1/2016 11:50,91.4,96.9,22
10/1/2016 11:50,91.6,97.2,22
10/1/2016 11:50,91.8,97.4,22
10/1/2016 11:50,91.9,97.4,22
10/1/2016 11:50,91.9,97.4,22
10/1/2016 11:50,91.9,97.5,22
10/1/2016 11:50,91.9,97.5,22
